name,steam_appid,required_age,controller_support,supported_languages,developers,publishers,platforms,categories,genres,release_date,followers,estimated_wishlists,tags,price,estimated_revenue,currency,owners,average_forever,average_2weeks,median_forever,median_2weeks,concurrent_users,total_positive,total_negative,total_reviews
Aztec Tiki Talisman,2645150,0,none,English,Josep Monzonis Hernandez,JanduSoft,windows,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie","Dec 14, 2023",29,348,"Action-Adventure,Platformer,Family Friendly,Funny,Colorful,Controller,Singleplayer,3D Platformer,Adventure,Casual,Top-Down,Indie,Third Person,Action,Puzzle Platformer,Cartoony,Precision Platformer,Exploration,3D,Nature",5.99,142,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Haunted Train: Spirits of Charon Collector's Edition,631240,0,none,English,Deep Shadows Games,Big Fish Games,windows,"Single-player,Family Sharing","Adventure,Casual","May 10, 2017",57,684,"Adventure,Casual,Hidden Object",9.99,713,USD,"0 .. 20,000",0,0,0,0,0,1,2,3
rFactor,339790,0,none,"English, French, Italian, German, Spanish - Spain, Czech, Portuguese - Brazil",Image Space Incorporated,Image Space Incorporated,windows,"Single-player,Multi-player,Steam Achievements,Stats,Family Sharing","Racing,Simulation,Sports","Mar 2, 2015",0,0,"Racing,Simulation,Sports,Moddable,Automobile Sim,Multiplayer,Driving,Realistic,VR",24.99,372915,USD,"50,000 .. 100,000",0,0,0,0,27,580,47,627
The Forest of Doom (Standalone),270490,0,none,"English, Spanish - Spain, French",Tin Man Games,Tin Man Games,"windows,mac,linux","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing","Adventure,Indie,RPG","Oct 30, 2014",2256,27072,"RPG,Adventure,Choose Your Own Adventure,Based On A Novel,Visual Novel,Indie,Singleplayer,Fantasy",4.99,19714,USD,"20,000 .. 50,000",0,0,0,0,0,137,29,166
Re;Lord 2 ~The witch of Cologne and black cat~,1502770,0,none,English,"Escu:de,Element",Sekai Project,windows,"Single-player,Family Sharing",RPG,"Nov 19, 2021",795,9540,,19.99,5233,USD,"0 .. 20,000",0,0,0,0,1,10,1,11
Lustful Assistant,2188640,0,none,"English, Simplified Chinese",Krujoko,Krujoko,"windows,linux","Single-player,Family Sharing","Casual,Simulation","Nov 10, 2022",216,2592,,5.99,855,USD,"0 .. 20,000",0,0,0,0,0,3,3,6
Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,263680,0,full,"English, French, Italian, German, Spanish - Spain, Arabic, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish",Semaphore,Semaphore,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Adventure","Jan 3, 2014",506,6072,"Action-Adventure,Third-Person Shooter,Mystery,Cinematic,3D Platformer,Platformer,Exploration,Shooter,Walking Simulator,Female Protagonist,Third Person,3D,Story Rich,Controller,Action,Atmospheric,Adventure,Conspiracy,Combat,Singleplayer",4.99,56411,USD,"200,000 .. 500,000",0,0,0,0,0,287,188,475
Static Black,3293460,0,full,English,Worrybone,Worrybone,windows,"Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Indie","Nov 11, 2024",13,156,"Roguelike,Action,Singleplayer,Survival Horror,Minimalist,Pixel Graphics,Combat,2D,Horror,Indie,Violent,Action Roguelike,Atmospheric,Dark",1.99,142,USD,"0 .. 20,000",0,0,0,0,0,3,0,3
GodOrEvil.Beta,1140700,0,none,Simplified Chinese,JusticePartnerNarKa,JusticePartnerNarKa,windows,"Single-player,Family Sharing","Adventure,Casual,Indie,Strategy","Sep 2, 2019",16,192,"Strategy,Indie,Casual,Adventure",0.99,23,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Super Kiwi 64,1949960,0,none,English,Siactro,Siactro,windows,"Single-player,Partial Controller Support,Family Sharing",Action,"Dec 2, 2022",1876,22512,"3D Platformer,1990's,Exploration,Collectathon,Retro,Stylized,Cute,Atmospheric,Action,Post-apocalyptic,Platformer,3D,Old School,Cartoon,Dark,Relaxing,Fantasy,Mystery,Mythology,Nature",2.99,108522,USD,"100,000 .. 200,000",48,0,48,0,1,1466,59,1525
Qualification as Rogue,2308820,0,none,"English, French, Italian, German, Japanese, Simplified Chinese, Traditional Chinese, Korean",Sunbeesoft,Sunbeesoft,windows,"Single-player,Family Sharing","Action,Adventure,Casual,Indie","Apr 6, 2023",46,552,"Action Roguelike,Precision Platformer,Side Scroller,Mystery Dungeon,Pixel Graphics,Puzzle Platformer,Roguelite,Platformer,Action RPG,Action-Adventure,Retro,Roguelike,RPG,2D,Action,Cute,Stealth,Emotional,Adventure,Physics",9.99,475,USD,"0 .. 20,000",0,0,0,0,0,0,2,2
DragonScales 5: The Frozen Tomb,971640,0,none,"English, French, German, Spanish - Spain, Dutch, Italian, Portuguese - Brazil",IKIGames,IKIGames,"windows,mac","Single-player,Steam Achievements,Family Sharing",Casual,"Nov 20, 2018",35,420,"Casual,Match 3,Puzzle,Sequel,Tile-Matching,Dragons,Singleplayer,Strategy,Female Protagonist",9.99,475,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
Joggernauts,747620,0,full,"English, French, Italian, German, Spanish - Spain, Japanese",Space Mace,Graffiti Games,"windows,mac","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing","Action,Indie","Oct 11, 2018",1094,13128,"Indie,Action,Local Co-Op,Co-op,Platformer,Puzzle Platformer,Runner,Funny,Aliens,Space,Family Friendly,Singleplayer,Local Multiplayer,Team-Based,2D,Sci-fi,Great Soundtrack,Colorful,Cute,Multiplayer",14.99,28540,USD,"20,000 .. 50,000",0,0,0,0,1,72,8,80
Toybit Quest,847800,0,full,English,MKrew,MKrew,windows,"Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Indie","Jul 12, 2018",12,144,"Action,Indie,Dungeon Crawler,2D,Procedural Generation,Roguelite,Pixel Graphics,Retro,Difficult,Minimalist,Action-Adventure,Singleplayer,Addictive,Cartoony,Action RPG,Loot,Colorful,Cartoon,Cute,Character Customization",3.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
King's Bounty: Crossworlds,63910,0,none,"English, Russian, German, Italian, Spanish - Spain, Czech, Polish",Katauri Interactive,Fulqrum Publishing,windows,"Single-player,Steam Cloud,Includes level editor,Family Sharing","RPG,Strategy","Sep 17, 2010",3167,38004,"RPG,Strategy,Turn-Based Strategy,Turn-Based,Hex Grid,Fantasy,Adventure,Female Protagonist,Atmospheric,Singleplayer,Turn-Based Combat,Tactical RPG",14.99,415984,USD,"200,000 .. 500,000",0,0,0,0,113,1069,97,1166
Beauty Agent,1677730,0,none,"English, Simplified Chinese",MAG,MAG,windows,"Single-player,Family Sharing","Adventure,Indie,RPG","Jul 23, 2021",309,3708,"Sexual Content,Nudity,Adventure,RPG,2D Fighter,Action-Adventure,Shooter,2D Platformer,Bullet Hell,Third-Person Shooter,2D,FMV,Third Person,Dystopian ,Cyberpunk,Mature,Singleplayer,Indie",1.99,1041,USD,"20,000 .. 50,000",0,0,0,0,0,3,19,22
The Note of Red Evil,1211350,0,none,Simplified Chinese,16air,16air,windows,"Single-player,Family Sharing","Adventure,Casual,Indie,RPG,Strategy","Feb 8, 2020",119,1428,"RPG,Casual,Indie,Adventure,Strategy,RPGMaker,Nudity,Turn-Based Strategy,JRPG,Strategy RPG,Real Time Tactics,Turn-Based Tactics,Exploration,Dungeon Crawler,2D,Top-Down,Pixel Graphics,Anime,Cute,Colorful",3.99,1804,USD,"20,000 .. 50,000",0,0,0,0,0,17,2,19
Seqitaire,1732170,0,none,English,DC Creation Studios,DC Creation Studios,windows,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Family Sharing","Casual,Indie,Strategy","Jan 24, 2024",10,120,"Logic,Strategy,Casual,Match 3,Solitaire,Puzzle,Education,2D,Indie,Singleplayer,Gaming",3.99,189,USD,"0 .. 20,000",0,0,0,0,0,2,0,2
Golden Legend -Harald Quest-,2317430,0,none,"English, Japanese",PastureSoft,PastureSoft,windows,"Single-player,Family Sharing","Casual,RPG","Apr 6, 2023",233,2796,,14.99,1427,USD,"0 .. 20,000",0,0,0,0,0,1,3,4
Cloning Clyde,91800,0,none,"English, French, German, Italian, Spanish - Spain",Bacon Wrapped Games,undefined,windows,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Family Sharing","Casual,Indie","Mar 15, 2011",307,3684,"Casual,Indie,Platformer",4.99,13182,USD,"50,000 .. 100,000",0,0,0,0,0,101,10,111
Power & Revolution 2019 Edition,1029630,0,none,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Japanese, Portuguese - Brazil, Russian",Eversim,Eversim,"windows,mac","Single-player,Steam Achievements,Family Sharing","Simulation,Strategy","Mar 12, 2019",4176,50112,"Strategy,Simulation,Political Sim,Politics,Economy,Management,Political,Grand Strategy",49.99,1405108,USD,"20,000 .. 50,000",0,0,0,0,11,711,470,1181
Trim For Your Dream,2437230,0,none,English,Arizona Skye,Arizona Skye,windows,"Single-player,Family Sharing","Casual,Simulation","Dec 22, 2023",95,1140,"Casual,Simulation,Stylized,Memes,Relaxing,Life Sim,Point & Click,Clicker,Cartoon,Immersive Sim,Colorful,Crafting,Singleplayer,Immersive,Soundtrack",14.2,5407,USD,"0 .. 20,000",0,0,0,0,0,16,0,16
进击的僵尸,1957790,0,none,"English, Spanish - Spain, Japanese, Spanish - Latin America, Simplified Chinese",AlienGamestudio,AlienGamestudio,"windows,mac","Single-player,Family Sharing","Adventure,Casual,Indie,RPG,Simulation,Strategy","May 5, 2022",30,360,"Strategy,Singleplayer,Third-Person Shooter,Top-Down Shooter,Roguelike,3D Platformer,Casual,Simulation,Indie,3D,Shooter,Bullet Hell,On-Rails Shooter,Zombies,Vampire,Horror,Demons,Mystery,Dark,Noir",0.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Magician of Fire,984830,0,none,"English, Russian",SiberianGames,SiberianGames,windows,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie,RPG","May 17, 2019",25,300,"Indie,Action,RPG,Casual,Adventure",2.99,426,USD,"0 .. 20,000",0,0,0,0,0,6,0,6
Exhibition of Speed,2947450,0,none,English,Exhibition Studios,Exhibition Studios,"windows,linux","Single-player,Partial Controller Support,Family Sharing","Racing,Simulation,Early Access","May 24, 2024",28,336,"Racing,Simulation,Automobile Sim,Driving,Physics,Moddable,Sandbox,3D,Resource Management,Early Access,First-Person,Third Person,Singleplayer",2.99,142,USD,"0 .. 20,000",0,0,0,0,0,2,0,2
Windforge,266170,0,none,English,Snowed In Studios,Snowed In Studios,windows,"Single-player,Steam Achievements,Family Sharing","Action,Indie,RPG","Mar 11, 2014",9225,110700,"Indie,RPG,Sandbox,Action,Steampunk,Open World Survival Craft,2D,Crafting,Open World,Building,Singleplayer,Platformer,Side Scroller,Survival,Adventure,Pixel Graphics,Exploration",9.99,83216,USD,"100,000 .. 200,000",0,0,0,0,0,244,106,350
The Burrito Quest,2106760,0,none,English,"Alberto Gnoato,Francesco Cabbai",That guy with.. you know.. that guy,"windows,mac","Single-player,Family Sharing","Adventure,Casual,Indie","Jan 16, 2023",66,792,"Adventure,Casual,Point & Click,Interactive Fiction,Exploration,3D,First-Person,Psychedelic,Atmospheric,Comedy,Funny,Emotional,Mystery,Relaxing,Surreal,Conversation,Choices Matter,Story Rich,Singleplayer,Indie",2.99,1352,USD,"0 .. 20,000",0,0,0,0,0,14,5,19
Flower Memories,2234420,0,none,English,Goldarait,Goldarait,windows,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Leaderboards,Remote Play Together,Family Sharing","Casual,Indie","Feb 1, 2023",50,600,"Tabletop,Education,Board Game,Ambient,Cozy,Clicker,Nature,Point & Click,Relaxing,Casual,Old School,Local Co-Op,Minimalist,Puzzle,Stylized,Family Friendly,Colorful,Singleplayer,Score Attack,Cute",0.99,329,USD,"0 .. 20,000",0,0,0,0,0,14,0,14
FatalZone,2488510,0,full,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese",Midhard Games,101XP,windows,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Casual,Indie,RPG","Sep 17, 2024",5908,70896,"Action Roguelike,Bullet Hell,Survival,Zombies,Roguelite,Top-Down Shooter,Arena Shooter,Action,Action RPG,Top-Down,Roguelike,RPG,Post-apocalyptic,2D,Procedural Generation,Singleplayer,Score Attack,Indie,Isometric,Perma Death",6.99,345201,USD,"100,000 .. 200,000",0,0,0,0,23,1441,634,2075
TIME BREAKER,1623440,0,none,"English, French",SHK Interactive,SHK Interactive,windows,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Casual,Indie","May 16, 2022",210,2520,"Puzzle,Physics,Puzzle Platformer,Time Management,First-Person,Action,Platformer,FPS,Logic,Indie,Casual,3D Platformer,3D,Linear,Singleplayer,Adventure,Realistic,Drama,Hidden Object,Gore",3.99,2089,USD,"0 .. 20,000",0,0,0,0,0,17,5,22
Twin Sector,27900,0,none,"English[b][/b], French, German[b][/b], Italian, Spanish - Spain
[b][/b]",DnS Development,DnS Development,windows,"Single-player,Family Sharing","Action,Adventure","Sep 16, 2009",22931,275172,"Action,Adventure,Puzzle,Female Protagonist,First-Person,Story Rich,FPS",4.99,22921,USD,"50,000 .. 100,000",0,0,0,0,0,77,116,193
"Tactics V: ""Obsidian Brigade""",962150,0,full,English,From Nothing Game Studios,From Nothing Game Studios,"windows,mac,linux","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together,Family Sharing","RPG,Strategy","Aug 8, 2019",868,10416,"Strategy,RPG,Turn-Based,Turn-Based Tactics,Tactical,Strategy RPG,Tactical RPG,Turn-Based Combat,Turn-Based Strategy,Pixel Graphics",9.99,6895,USD,"0 .. 20,000",0,0,0,0,0,22,7,29
Jett Rider,2505250,0,full,"English, French, German, Spanish - Spain, Catalan",Last Chicken Games,JanduSoft,windows,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie","Jan 25, 2024",416,4992,"Action-Adventure,Singleplayer,Platformer,Controller,Exploration,2D Platformer,Shooter,Side Scroller,Story Rich,2D,Action,Colorful,Fantasy,Adventure,Retro,Sci-fi,Arcade,Pixel Graphics,Futuristic,Indie",12.99,10820,USD,"0 .. 20,000",0,0,0,0,0,31,4,35
Gun-REViper,1489520,0,none,"English, Japanese, Simplified Chinese, Traditional Chinese",naga84games,naga84games,windows,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Indie,Early Access","Feb 3, 2021",67,804,"Shoot 'Em Up,Action,Shooter,Sci-fi,Mechs,Singleplayer,Score Attack,2.5D,Indie,Early Access,3D",14.99,713,USD,"0 .. 20,000",0,0,0,0,0,2,0,2
100 hidden aliens,1493300,0,none,English,"Anatoliy Loginovskikh,Khud0",Anatoliy Loginovskikh,windows,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie","Dec 19, 2020",125,1500,"Casual,Hidden Object,Hand-drawn,Creature Collector,Adventure,Aliens,Puzzle,Exploration,Cute,2D,Side Scroller,Abstract,Minimalist,Stylized,Family Friendly,Relaxing,Singleplayer,Indie",1.99,19892,USD,"50,000 .. 100,000",0,0,0,0,0,362,58,420
TOLD GOD - The legacy of cthulhu,3029870,0,full,"English, Japanese, Simplified Chinese, Traditional Chinese",Obsession studio,Obsession studio,windows,"Single-player,Full controller support,Family Sharing","Action,Adventure,Indie","Oct 22, 2024",572,6864,"Horror,Lovecraftian,Zombies,Thriller,Survival Horror,Action,Adventure,Female Protagonist,3D,Third Person,Story Rich,Singleplayer,Indie,Violent,Action-Adventure,3D Platformer,Hack and Slash,Sexual Content",17.99,4709,USD,"0 .. 20,000",0,0,0,0,0,9,2,11
Gachi run: Running of the slaves,1436680,0,none,English,Slaves,Wolfi,windows,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie","Nov 6, 2020",304,3648,"Indie,Casual,Adventure,Action,Sexual Content,Nudity,Funny,Great Soundtrack,Fast-Paced,Memes,LGBTQ+,Psychological Horror,Runner,Colorful,Comedy,Relaxing,3D Platformer,Dark Fantasy,Strategy,Massively Multiplayer",0.99,4335,USD,"20,000 .. 50,000",0,0,0,0,0,176,8,184
The Bookwalker: Thief of Tales,1432100,0,full,"English, Russian, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese",DO MY BEST,tinyBuild,windows,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Indie","Jun 22, 2023",12348,148176,"Adventure,Singleplayer,Atmospheric,Isometric,Noir,Story Rich,Lore-Rich,Dark Fantasy,Surreal,Mystery,First-Person,Dystopian ,Point & Click,Detective,Thriller,Exploration,Narration,Drama,Puzzle,Visual Novel",14.99,513737,USD,"100,000 .. 200,000",547,0,547,0,10,1336,104,1440
M/a,2365550,0,none,English,N/a,N/a,windows,"Single-player,Family Sharing","Casual,Simulation,Strategy","Apr 13, 2023",32,384,"Casual,Simulation,Strategy,Management,2.5D,Isometric,Top-Down,Family Friendly,Relaxing,Singleplayer,Multiplayer",5.99,427,USD,"0 .. 20,000",0,0,0,0,0,1,2,3
Virtually Real Life,1209610,0,none,English,Freedom Software,Freedom Software,windows,"Single-player,Family Sharing","Adventure,Indie","Feb 7, 2020",40,480,"Indie,Psychological Horror,Demons,Atmospheric,Horror,Choices Matter,Surreal,Supernatural,Mystery,Multiple Endings,Adventure,Visual Novel,2D,Point & Click,Story Rich,Puzzle,Exploration,Hidden Object,Thriller,Conversation",3.99,94,USD,"0 .. 20,000",0,0,0,0,0,0,1,1
Space God,637120,0,none,"English, Spanish - Spain, Japanese, French, Italian, Dutch, German, Russian",Jellypig Games,"Jellypig Games,PsychoFlux Entertainment","windows,mac,linux","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards,Remote Play Together,Family Sharing","Action,Casual,Indie","Apr 18, 2018",543,6516,"Shoot 'Em Up,Bullet Hell,Colorful,Singleplayer,Indie,Co-op,Space,PvP,Top-Down,Arcade,Shooter,Fast-Paced,Action,Online Co-Op,Multiplayer,Sci-fi,Retro,Casual,Top-Down Shooter,Score Attack",4.99,1306,USD,"0 .. 20,000",0,0,0,0,0,9,2,11
👑 Idle Calibur 👑（选王之剑）,1674890,0,none,"Simplified Chinese, English",绝汪,"绝汪,Limit Breaker",windows,"Single-player,Steam Achievements,Steam Workshop,Steam Workshop,Steam Cloud,Commentary available,Remote Play on Phone,Remote Play on Tablet,Family Sharing","Adventure,Casual,Indie,RPG,Simulation,Strategy","Jan 14, 2022",7745,92940,"Indie,Roguelite,Idler,Strategy,Anime,Open World,Pixel Graphics,Wargame,Tactical RPG,Roguelike,Cute,Adventure,2D,Action Roguelike,Cartoon,Female Protagonist,RPG,Loot,Casual,Real Time Tactics",7.99,230096,USD,"100,000 .. 200,000",94,0,150,0,10,1052,158,1210
Color +,1142280,0,none,English,MiCake,MiCake,windows,"Single-player,Family Sharing","Casual,Indie","Aug 31, 2019",18,216,"Indie,Casual",1.99,47,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Project Hospital,868360,0,none,"English, French, German, Spanish - Spain, Czech, Portuguese - Brazil, Spanish - Latin America, Traditional Chinese, Russian, Turkish, Ukrainian, Italian, Simplified Chinese, Dutch, Japanese, Hungarian, Polish, Korean, Swedish",Oxymoron Games,Oxymoron Games,"windows,mac,linux","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Family Sharing","Indie,Simulation,Strategy","Oct 30, 2018",65525,786300,"Medical Sim,City Builder,Management,Job Simulator,Simulation,Strategy,Education,Sandbox,Building,Economy,Life Sim,Character Customization,2D,Isometric,Realistic,Stylized,Moddable,Indie,Replay Value,Resource Management",24.99,4302508,USD,"200,000 .. 500,000",2912,0,2107,0,490,6403,831,7234
Plant the Towers,3244360,0,none,"English, Russian, Ukrainian",SteelArg Games,SteelArg Games,windows,"Single-player,Family Sharing","Indie,Strategy","Nov 28, 2024",14,168,"Tower Defense,Farming,Strategy,Survival,Roguelike,Resource Management,Indie,Puzzle,Post-apocalyptic,Futuristic,Top-Down,2D,Singleplayer,PvE,Colorful",2.99,498,USD,"0 .. 20,000",0,0,0,0,0,7,0,7
Asteroid Arena,1534000,0,none,English,GameLoom Studio,GameLoom Studio,windows,"Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support,Remote Play Together,Family Sharing",Action,"May 29, 2022",17,204,"Action,Local Multiplayer,PvP,2D Fighter,Split Screen,Space,Combat,Battle Royale,Arena Shooter,Top-Down Shooter,2D,Top-Down,Flight,Physics,Procedural Generation,Stealth,4 Player Local,Multiplayer",3.99,94,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Cyclemania,1471680,0,none,English,"Compro Games,Accolade",Ziggurat,windows,"Single-player,Family Sharing","Racing,Sports","Dec 4, 2020",82,984,"Racing,Motorbike,Sports,FMV,Retro,Fast-Paced,Bikes,Singleplayer,Action,Adventure,Simulation,Arcade,Automobile Sim,First-Person,1990's,Comedy,Funny,Remake",4.99,1425,USD,"50,000 .. 100,000",0,0,0,0,0,11,1,12
My Time at Sandrock,1084600,0,full,"English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Thai, Traditional Chinese, Russian, Portuguese - Brazil, Korean",Pathea Games,"Pathea Games,Focus Entertainment,PM Studios, Inc.,DMM Games",windows,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Casual,Indie,RPG,Simulation","Nov 2, 2023",133137,1597644,"Life Sim,Building,Farming Sim,Multiplayer,Sandbox,Crafting,RPG,Dating Sim,Open World,Character Customization,Mining,Adventure,Post-apocalyptic,Casual,Simulation,Singleplayer,Female Protagonist,Cartoony,Indie,Early Access",39.99,20562818,USD,"500,000 .. 1,000,000",0,0,0,0,1124,19035,2570,21605
Death Space,969230,0,none,English,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Indie","Nov 6, 2018",47,564,"Action,Adventure,Indie",0.99,424,USD,"0 .. 20,000",0,0,0,0,0,5,13,18
World of Zoo,43100,0,none,English,Blue Fang,HandyGames,windows,"Single-player,Family Sharing",Simulation,"Oct 30, 2009",0,0,"Simulation,Family Friendly,Singleplayer,Cute",9.99,40657,USD,"50,000 .. 100,000",0,0,0,0,1,139,32,171
Warhead Destined,1097400,0,none,English,Mibli,Mibli,windows,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie,RPG","Sep 3, 2019",17,204,"Action,RPG,Indie,Casual,Adventure",undefined,undefined,undefined,"0 .. 20,000",0,0,0,0,0,0,0,0
Laika 2.0 - Sekret Pravda,675140,0,none,"English, Italian","Studio Albatros,Drink7 Studios",Gamera Interactive,windows,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Adventure,Indie","Sep 8, 2017",119,1428,"Action,Indie,Adventure,Stealth,Story Rich",9.99,1188,USD,"0 .. 20,000",0,0,0,0,0,4,1,5
Grand Numbers Plus,3166430,0,none,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Korean, Japanese, Portuguese - Portugal, Russian",ima shouganai,ima shouganai,windows,"Single-player,Family Sharing","Casual,Indie","Sep 4, 2024",8,96,"Casual,Point & Click,Education,Board Game,Clicker,Time Management,Solitaire,2D,Cute,Anime,Minimalist,Cats,Logic,Family Friendly,Relaxing,Quick-Time Events,PvE,Choices Matter,Tabletop,Female Protagonist",9.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Rainbow Hunter,1058550,0,full,"English, Spanish - Spain, Portuguese - Brazil",Colossus Game Studio,Colossus Game Studio,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing","Adventure,Casual,Indie","May 13, 2019",95,1140,"Indie,Casual,Adventure,Runner,Great Soundtrack,Singleplayer,Colorful,Score Attack,Controller,Music,Difficult",4.99,1306,USD,"0 .. 20,000",0,0,0,0,0,11,0,11
Skill Random Defense,2945110,0,none,"English, Korean, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese",UIsoft,UIsoft,windows,"Single-player,Family Sharing","Action,Casual,Indie,RPG","Jun 8, 2024",7,84,"RPG,Casual,Action RPG,3D Platformer,3D,Fantasy,Magic,Dark Fantasy,PvE,Action,Indie,Combat,Singleplayer",2.99,213,USD,"0 .. 20,000",0,0,0,0,0,2,1,3
Trine 4: The Nightmare Prince,690640,0,full,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Czech, Korean, Turkish",Frozenbyte,Frozenbyte,windows,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing","Action,Adventure,Indie","Oct 8, 2019",44077,528924,"Puzzle Platformer,Local Co-Op,Online Co-Op,Action-Adventure,Co-op,Beautiful,Fantasy,2.5D,Multiplayer,Adventure,Platformer,Puzzle,Action,Atmospheric,Local Multiplayer,Great Soundtrack,Stylized,Indie,Singleplayer,RPG",29.99,7676510,USD,"1,000,000 .. 2,000,000",367,0,258,0,116,9614,1141,10755
Bikini Surfer Girl - Wild Wahine,1027550,0,none,English,Denki Gaka,Denki Gaka,windows,"Single-player,Partial Controller Support,Family Sharing","Sports,Early Access","Mar 21, 2019",22,264,"Early Access,Sports",4.99,356,USD,"0 .. 20,000",0,0,0,0,0,3,0,3
Alien Attack: Pocket Edition,896400,0,none,"English, French, Italian, German, Spanish - Spain, Traditional Chinese, Simplified Chinese, Portuguese - Portugal, Russian, Japanese, Ukrainian",Alien Jellyfish,Alien Jellyfish,windows,"Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Family Sharing","Action,Casual,Indie,Simulation","Aug 1, 2018",76,912,"Action,Indie,Casual,Simulation,Pixel Graphics,Difficult",1.99,805,USD,"0 .. 20,000",0,0,0,0,0,16,1,17
Christmas Wonderland 3,1803460,0,none,English,Casual Arts,Casual Arts,windows,"Single-player,Family Sharing","Adventure,Casual,Indie","Jan 6, 2022",20,240,"Adventure,Casual,Point & Click,Puzzle,Hidden Object,2D,Colorful,Family Friendly,Female Protagonist,Indie,Linear,Singleplayer",6.99,166,USD,"0 .. 20,000",0,0,0,0,0,0,1,1
Gallerie,3197950,0,none,English,Shakles,Shakles,windows,"Single-player,Family Sharing","Action,Adventure","Sep 19, 2024",16,192,"Exploration,Action-Adventure,First-Person,3D,Horror,Psychological Horror,Surreal,Action,Linear,Story Rich,Colorful,Stylized,Lovecraftian,Philosophical,Atmospheric,Adventure,Mystery,Aliens,Singleplayer,Casual",5.99,427,USD,"0 .. 20,000",0,0,0,0,0,3,0,3
