name,steam_appid,required_age,controller_support,supported_languages,developers,publishers,platforms,categories,genres,release_date,followers,estimated_wishlists,tags,price,estimated_revenue,currency,owners,average_forever,average_2weeks,median_forever,median_2weeks,concurrent_users,total_positive,total_negative,total_reviews
28 Babes Later,2691700,0,none,"English, French, German, Japanese, Korean, Russian, Simplified Chinese","Lemonhaze Studio,multiplayscape",Lemonhaze Studio,windows,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie,Early Access","Dec 21, 2023",1303,15636,,14.99,16054,USD,"0 .. 20,000",0,0,0,0,0,32,13,45
除邪(CHUXIE),2969160,0,none,"English, Simplified Chinese, French, Italian, German, Spanish - Spain, Russian, Indonesian, Japanese, Traditional Chinese, Portuguese - Brazil, Portuguese - Portugal, Vietnamese, Korean",LCGaming,LCGaming,windows,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Adventure","Jul 28, 2024",4294,51528,"Adventure,Action,Horror,FPS,Action-Adventure,Surreal,Realistic,Survival Horror,3D Platformer,Supernatural,Atmospheric,3D,Demons,Mystery,Singleplayer,Exploration,Survival,Zombies,Thriller,First-Person",6.99,93329,USD,"0 .. 20,000",23,1,35,1,11,445,116,561
Pogo Rocket,1672230,0,full,English,Big Boy Games,Big Boy Games,windows,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Includes level editor,Remote Play Together,Family Sharing","Action,Adventure,Indie","May 17, 2023",23,276,"2D Platformer,Puzzle Platformer,Physics,Adventure,Space,Platformer,Action,Futuristic,Sci-fi,Aliens,Stylized,Arcade,Indie,Tutorial,Singleplayer,2D",9.99,475,USD,"0 .. 20,000",0,0,0,0,0,2,0,2
University Tycoon - The College Management Simulator,3083800,0,none,English,Robert Gould,Robert Gould,windows,"Single-player,Family Sharing",Simulation,"Aug 9, 2024",16,192,"Simulation,Management,Base Building,2D,Top-Down,Singleplayer,Building",10.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Arranged,1087800,0,none,English,Kabuk Games,Kabuk Games,"windows,mac,linux","Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie","Jan 31, 2020",69,828,"Adventure,Indie,Casual,Visual Novel,Singleplayer,Hand-drawn,Multiple Endings,Education,Story Rich",0.99,376,USD,"0 .. 20,000",0,0,0,0,0,13,3,16
My Little Universe,2328750,0,full,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Latvian",Estoty,SayGames,"windows,mac","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together,Family Sharing","Action,Adventure,Casual,Simulation","Oct 5, 2023",6668,80016,"Mining,Exploration,Dungeon Crawler,Sandbox,Crafting,Survival,Character Customization,Space,3D,Action,2.5D,Cute,Third Person,Relaxing,Controller,Open World,Casual,Colorful,Simulation,Minimalist",14.99,353194,USD,"200,000 .. 500,000",908,182,639,182,151,898,92,990
Cat Go! Ultimate Challenge,1505980,0,none,"English, Simplified Chinese, Russian","Andreev Worlds,Gamesforgames","Andreev Worlds,Gamesforgames",windows,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie","Jan 30, 2021",107,1284,"Adventure,3D Platformer,Runner,Stylized,Singleplayer,Platformer,Casual,Cute,Cats,Open World,Arcade,Character Customization,3D,Third Person,Relaxing,Funny,Minimalist,Family Friendly,6DOF,Atmospheric",1.99,1231,USD,"50,000 .. 100,000",0,0,0,0,0,22,4,26
Nie No Hakoniwa - Dollhouse of Offerings,2527450,0,none,"English, Japanese, Simplified Chinese, Traditional Chinese",Chatte Noire,Sekai Project,windows,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",Casual,"Feb 15, 2024",2173,26076,"Casual,Visual Novel,Anime,Horror,Gore,Linear,Mystery,Singleplayer,Violent,2D,Story Rich,Thriller,Immersive Sim,Sexual Content",29.99,97785,USD,"0 .. 20,000",0,0,0,0,2,99,38,137
"Alpha Male, Play With My Milf Housemaid",2664280,0,none,English,HotBamboo,Hot Bamboo,windows,"Single-player,Family Sharing","Casual,Indie,Simulation","Jan 5, 2024",178,2136,,8.99,1497,USD,"0 .. 20,000",0,0,0,0,0,6,1,7
Voltorometer Recharged +,2339260,0,full,English,Some Random Dev,Some Random Dev,windows,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Family Sharing","Action,Adventure","Apr 28, 2023",33,396,"Precision Platformer,Side Scroller,Action,2D Platformer,Difficult,Platformer,2D,Linear,Controller,Cartoony,Colorful,Pixel Graphics,Family Friendly,Score Attack,Adventure,Old School,Retro,Singleplayer,Remake",4.99,593,USD,"0 .. 20,000",0,0,0,0,0,5,0,5
The Mysterious Thief; Forget Me Not,3333600,0,none,English,solarProtag,solarProtag,"windows,mac,linux","Single-player,Steam Achievements,Family Sharing","Casual,Indie,Simulation","Feb 19, 2025",32,384,"Casual,Simulation,Interactive Fiction,Point & Click,Puzzle,Visual Novel,Exploration,2D,Anime,Cute,Detective,Emotional,LGBTQ+,Modern,Relaxing,Romance,Female Protagonist,Linear,Story Rich,Singleplayer",8.99,0,USD,"0 .. 20,000",0,0,0,0,1,0,0,0
